id,platform,ont_reads,ilm_r1,ilm_r2,strain,locus_tag_prefix
barcode09_88919g100,hybrid,/path/ont_samples/barcode09_88919g100/barcode09_88919g100.fastq.gz,/path/illumina_samples/S114_88919g100-416746468/88919g100_S114_L001_R1_001.fastq.gz,/path/illumina_samples/S114_88919g100-416746468/88919g100_S114_L001_R2_001.fastq.gz,TFM100-I01_2,NA
barcode10_88919g1000,hybrid,/path/ont_samples/barcode10_88919g1000/barcode10_88919g1000.fastq.gz,/path/illumina_samples/S146_88919g1000-414054822/88919g1000A_S146_L001_R1_001.fastq.gz,/path/illumina_samples/S146_88919g1000-414054822/88919g1000A_S146_L001_R2_001.fastq.gz,TFM1000-I01,NA
barcode11_88919c100,hybrid,/path/ont_samples/barcode11_88919c100/barcode11_88919c100.fastq.gz,/path/illumina_samples/S112_88919c100-416722622/88919c100_S112_L001_R1_001.fastq.gz,/path/illumina_samples/S112_88919c100-416722622/88919c100_S112_L001_R2_001.fastq.gz,TFL100-I01,NA
barcode12_88899c100,hybrid,/path/ont_samples/barcode12_88899c100/barcode12_88899c100.fastq.gz,/path/illumina_samples/S110_88899c100-416743538/88899c100_S110_L001_R1_001.fastq.gz,/path/illumina_samples/S110_88899c100-416743538/88899c100_S110_L001_R2_001.fastq.gz,TFL100-I02,NA
barcode13_88879g10,hybrid,/path/ont_samples/barcode13_88879g10/barcode13_88879g10.fastq.gz,/path/illumina_samples/S108_88879g10-416747461/88879g10_S108_L001_R1_001.fastq.gz,/path/illumina_samples/S108_88879g10-416747461/88879g10_S108_L001_R2_001.fastq.gz,SCM10-01,AC4KDB
barcode14_88879c1000,hybrid,/path/ont_samples/barcode14_88879c1000/barcode14_88879c1000.fastq.gz,/path/illumina_samples/S106_88879c1000-416725627/88879c1000_S106_L001_R1_001.fastq.gz,/path/illumina_samples/S106_88879c1000-416725627/88879c1000_S106_L001_R2_001.fastq.gz,SCL1000-I01,NA
barcode15_89258c10,hybrid,/path/ont_samples/barcode15_89258c10/barcode15_89258c10.fastq.gz,/path/illumina_samples/S097_89258c10-414016967/89258c10_S97_L001_R1_001.fastq.gz,/path/illumina_samples/S097_89258c10-414016967/89258c10_S97_L001_R2_001.fastq.gz,PCL10-I01,NA
barcode16_88925g10,hybrid,/path/ont_samples/barcode16_88925g10/barcode16_88925g10.fastq.gz,/path/illumina_samples/S145_88925g10-414002468/88925g10_S145_L001_R1_001.fastq.gz,/path/illumina_samples/S145_88925g10-414002468/88925g10_S145_L001_R2_001.fastq.gz,FRM10-I01_2,NA
S107_88879c1000A,ilm,NA,/path/illumina_samples/S107_88879c1000A/88879c1000A_S107_L001_R1_001.fastq.gz,/path/illumina_samples/S107_88879c1000A/88879c1000A_S107_L001_R2_001.fastq.gz,SCL1000-I02,NA
S109_88879g10A,ilm,NA,/path/illumina_samples/S109_88879g10A/88879g10A_S109_L001_R1_001.fastq.gz,/path/illumina_samples/S109_88879g10A/88879g10A_S109_L001_R2_001.fastq.gz,SCM10-I02,NA
S111_88899c100A,ilm,NA,/path/illumina_samples/S111_88899c100A/88899c100A_S111_L001_R1_001.fastq.gz,/path/illumina_samples/S111_88899c100A/88899c100A_S111_L001_R2_001.fastq.gz,TFL100-I03,NA
S113_88919c100A,ilm,NA,/path/illumina_samples/S113_88919c100A/88919c100A_S113_L001_R1_001.fastq.gz,/path/illumina_samples/S113_88919c100A/88919c100A_S113_L001_R2_001.fastq.gz,TFL100-I04,NA
S115_88919g100A,ilm,NA,/path/illumina_samples/S115_88919g100A/88919g100A_S115_L001_R1_001.fastq.gz,/path/illumina_samples/S115_88919g100A/88919g100A_S115_L001_R2_001.fastq.gz,TFM100-I03,NA
S144_89258c10A,ilm,NA,/path/illumina_samples/S144_89258c10A/89258c10A_S144_L001_R1_001.fastq.gz,/path/illumina_samples/S144_89258c10A/89258c10A_S144_L001_R2_001.fastq.gz,PCL10-I02,NA
S147_88919g1000,ilm,NA,/path/illumina_samples/S147_88919g1000/88919g1000_S147_L001_R1_001.fastq.gz,/path/illumina_samples/S147_88919g1000/88919g1000_S147_L001_R2_001.fastq.gz,TFM1000-I02,NA
